document_id,title,pdf_path,page,word_count,text
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,1,347,"Freescale Semiconductor

   !
 ""# $%&'( 
 !)*+) ,*
Freescale Semiconductor, Inc...

 Information in this document is provided solely to enable system and software
 implementers to use Freescale Semiconductor products. There are no express or
 implied copyright licenses granted hereunder to design or fabricate any integrated
 circuits or integrated circuits based on the information in this document.
 Freescale Semiconductor reserves the right to make changes without further notice to
 any products herein. Freescale Semiconductor makes no warranty, representation or
 guarantee regarding the suitability of its products for any particular purpose, nor does
 Freescale Semiconductor assume any liability arising out of the application or use of
 any product or circuit, and specifically disclaims any and all liability, including without
 limitation consequential or incidental damages. “Typical” parameters which may be
 provided in Freescale Semiconductor data sheets and/or specifications can and do
 vary in different applications and actual performance may vary over time. All operating
 parameters, including “Typicals” must be validated for each customer application by
 customer’s technical experts. Freescale Semiconductor does not convey any license
 under its patent rights nor the rights of others. Freescale Semiconductor products are
 not designed, intended, or authorized for use as components in systems intended for
 surgical implant into the body, or other applications intended to support or sustain life,
 or for any other application in which the failure of the Freescale Semiconductor product
 could create a situation where personal injury or death may occur. Should Buyer
 purchase or use Freescale Semiconductor products for any such unintended or
 unauthorized application, Buyer shall indemnify and hold Freescale Semiconductor
 and its officers, employees, subsidiaries, affiliates, and distributors harmless against all
 claims, costs, damages, and expenses, and reasonable attorney fees arising out of,
 directly or indirectly, any claim of personal injury or death associated with such
 unintended or unauthorized use, even if such claim alleges that Freescale
 Semiconductor was negligent regarding the design or manufacture of the part.

 © Freescale Semiconductor, Inc., 2004. All rights reserved.

 For More Information On This Product,
 Go to: www.freescale.com"
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,2,74,"Freescale Semiconductor, Inc.

 PowerPC Embedded
 Application Binary Interface

 32-Bit Implementation
Freescale Semiconductor, Inc...

 Version Description Date

 1.0 Initial Release 01/10/95

 for information contact:
 Stephen Sobek Kevin Burke
 Microcontroller Technologies Group Technology Products
 Freescale International Business Machines Corporation
 6501 William Cannon Drive West 3039 Cornwallis Road
 Mail Stop OE45 Mail Stop H83/061
 Austin, TX 78735 Research Triangle Park, NC 27709
 steve@avar.sps.mot.com kevin_burke@vnet.ibm.com

 PowerPC EABI, Version 1.0

 For More Information On This Product,
 Go to: www.freescale.com"
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,3,250,"Freescale Semiconductor, Inc.

 © 1995 Motorola, Inc. All rights reserved.

 Important Notice to Users

 While every effort has been made to ensure the accuracy of all information in this document, -
 Freescale assumes no liability to any party for any loss or damage caused by errors or omissions or by
 statements of any kind in this document, its updates, supplements, or special editions, whether
 such errors are omissions or statements resulting from negligence, accident, or any other cause.
 Freescale further assumes no liability arising out of the application or use of any information,
 product, or system described herein; nor any liability for incidental or consequential damages
 arising from the use of this document. Freescale disclaims all warranties regarding the informa-
Freescale Semiconductor, Inc...

 tion contained herein, whether expressed, implied or statutory, including implied warranties of
 merchantability or fitness for a particular purpose. Freescale makes no representation that the in-
 terconnection of products in the manner described herein will not infringe on existing or future
 patent rights, nor do the descriptions contained herein imply the granting or license to make, use
 or sell equipment constructed in accordance with this description.

 Trademarks
 The following trademarks apply to this document:

 PowerPC and IBM are trademarks of International Business Machines Corporation.

 Freescale is a trademark of Freescale Semiconductor, Inc.

 UNIX is a registered trademark of Novell, Inc. in the United States and other countries, licensed
 exclusively through X/Open Company, Ltd.

 ii PowerPC EABI, Version 1.0

 For More Information On This Product,
 Go to: www.freescale.com"
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,4,328,"Freescale Semiconductor, Inc.

 Foreword

 The PowerPC Embedded Application Binary Interface, or EABI, was created to meet the unique
 needs of PowerPC embedded applications, specifically minimizing memory usage while main-
 taining high performance. The EABI was developed by an industry-wide working group consist-
 ing of PowerPC chip manufacturers, software tool vendors, and end users.

 The EABI defines a set of conventions intended to afford interoperability between conforming
 software components (e.g., compilers, debuggers, assembly language code). These conventions
 are optimized for embedded applications, which typically differ from desktop applications in at
 least one of the following ways:
Freescale Semiconductor, Inc...

 • ROM based
 • real-time oriented
 • memory constrained
 • single purpose application

 The EABI was created with the explicit goal of being as close as possible to an existing desktop
 ABI. While several alternatives were considered (e.g., PowerOpen ABI), the one chosen was the
 Unix System V Release 4 (SVR4) ABI for PowerPC. This choice makes it possible to use SVR4
 functions in an EABI environment without recompilation. The two ABI’s are sufficiently close
 that software tool vendors can support both ABI’s with a single set of tools.

 Embedded programs that conform to the EABI gain efficiency in space and time by using the fol-
 lowing features:
 • minimized stack usage
 • relaxed alignment restrictions, optimizing memory usage
 • small data areas for RAM data, read-only data, and data around address zero. These reduce code
 size and improve data access time.

 Acknowledgements
 Members of the PowerPC Embedded Application Binary Interface Working Group who devoted
 substantial time and effort to create this standard included:

 Tom Barrett Mark Edwards Ken Greenberg Steve Sobek
 Kevin Burke Tomas Evensen David Layman Budi Sutardja
 Felix Burton Chris Ford Steve Mihalik Fred Viles
 Thomas Collopy Craig Franklin Rebecca Moeller Alex Wu
 Bill DeStein Tony Goelz Jack Patteeuw Steven Zucker

 The working group is grateful for the efforts made by all participants.

 iii PowerPC EABI, Version 1.0

 For More Information On This Product,
 Go to: www.freescale.com"
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,5,115,"Freescale Semiconductor, Inc.

 References
 ANSI X3.159-1989, American National Standard for Information Systems - Programming
 Language - C, American National Standards Institute, 1989.

 DWARF Debugging Information Format, Revision: Version 1.1.0, UNIX International, Program-
 ming Languages SIG, October 6, 1992.

 DWARF Debugging Information Format, Revision: Version 2.0.0, Industry Review Draft, UNIX
 International, Programming Languages SIG, July 27, 1993.

 PowerPC Microprocessor Family: The Programming Environments, Freescale, Freescale docu-
Freescale Semiconductor, Inc...

 ment MPCFPE/AD, IBM Microelectronics document MPRPPCFPE-01, 1994.

 System V Application Binary Interface, Third Edition, UNIX System Laboratories, 1994 (ISBN
 0-13-100439-5).

 System V Application Binary Interface, PowerPC Processor Supplement, Sun Microsystems and
 IBM, 1995.

 iv PowerPC EABI, Version 1.0

 For More Information On This Product,
 Go to: www.freescale.com"
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,6,132,"Freescale Semiconductor, Inc.

 Table of Contents

 CHAPTER 1 PowerPC Embedded Application Binary Interface 1
 Introduction and Overview 1
 Terminology 1
 Relationship to UNIX System V Release 4 2
 Base and Extended Conformance 2
 Definitions and Notation 2
Freescale Semiconductor, Inc...

 Future Directions 2

 CHAPTER 2 Software Installation 3

 CHAPTER 3 Low-Level System Information 4
 SVR4 ABI Execution Support 4
 Machine Interface 5
 Processor Architecture 5
 Data Representation 5
 Fundamental Types 5
 Aggregates and Unions 5
 Function Calling Sequence 5
 Registers 5
 The Stack Frame 6
 Operating System Interface 6
 Exception Interface 6
 Process Initialization 6
 Coding Examples 6
 Data Objects 6
 Dynamic Stack Space Allocation 9
 DWARF Definition 9
 DWARF Register Number Mapping 9
 Address Class Codes 9

 v PowerPC EABI, Version 1.0

 For More Information On This Product,
 Go to: www.freescale.com"
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,7,79,"Freescale Semiconductor, Inc.

 CHAPTER 4 Object Files 10
 Object File Processing 10
 ELF Header 10
 Machine Information 10
 Sections 11
 Special Sections 11
 Relocation 15
 Relocation Types 15
Freescale Semiconductor, Inc...

 CHAPTER 5 Program Loading and Dynamic Linking 19
 Program Loading 19
 Program Interpreter 19

 CHAPTER 6 Libraries 20
 SVR4 Library Routines 20
 Software Floating Point Emulation Support Routines 21

 APPENDIX A EABI Summary 28

 vi PowerPC EABI, Version 1.0

 For More Information On This Product,
 Go to: www.freescale.com"
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,8,107,"Freescale Semiconductor, Inc.
 PowerPC Embedded Application Binary Interface

 CHAPTER 1 PowerPC Embedded
 Application Binary
 Interface
Freescale Semiconductor, Inc...

 Introduction and Overview
 The PowerPC Embedded Application Binary Interface (EABI) defines a system interface for
 compiled and assembled embedded application programs that will run on embedded 32-bit imple-
 mentations of the PowerPC architecture.

 Terminology
 The word “shall” in this document denotes a characteristic or behavior that is mandatory for an
 EABI-conforming entity, such as an application program or compiler. The word “may” denotes a
 characteristic or behavior that is explicitly permitted for an EABI-conforming entity.

 1 PowerPC EABI, Version 1.0

 For More Information On This Product,
 Go to: www.freescale.com"
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,9,315,"Freescale Semiconductor, Inc.
 PowerPC Embedded Application Binary Interface

 Relationship to UNIX System V Release 4

 Except as noted in this document, the EABI adopts the specifications found in those editions of
 the System V Application Binary Interface and the System V Application Binary Interface, Power-
 PC Processor Supplement that are listed in the references.

 Base and Extended Conformance
 This document defines two levels of conformance - base EABI conformance and extended
 EABI conformance.
Freescale Semiconductor, Inc...

 Base EABI conformance shall consist of conforming to all requirements that are not labeled
 EXTENDED.

 Extended EABI conformance shall consist of conforming to all requirements, including those la-
 beled EXTENDED, with a requirement labeled EXTENDED superseding any conflicting base
 conformance requirements. E.g., the extended EABI conformance requirement that a static linker
 support all SVR4 ABI relocation types supersedes the base EABI conformance requirement that
 the relocation types in Table 4-1 are not supported.

 Definitions and Notation
 The following definitions and notation are used throughout this document:
 • SVR4 is the UNIX System V Release 4 operating system.
 • SVR4 ABI is the UNIX System V Release 4 Application Binary Interface, including the
 PowerPC processor supplement.
 • Numbers are decimal unless specified in the following way:
 - 0xnnnn, where nnnn is a non-empty sequence of hexadecimal digits, denotes a hexadecimal
 number whose value, expressed in hexadecimal, is nnnn.
 • A byte is 8 bits.
 • A word is 32 bits (4 bytes).
 • GPRn, where n is a number, denotes PowerPC General Purpose Register n.

 Future Directions
 Characteristics and behaviors mandated by this version of the EABI shall continue to be mandat-
 ed indefinitely except where this document explicitly states otherwise. All mandates that might be
 withdrawn or altered in the next edition of the EABI are preceded by WARNING: and appear in
 bold face type.

 2 PowerPC EABI, Version 1.0

 For More Information On This Product,
 Go to: www.freescale.com"
PPCEABI,PowerPC Embedded Application Binary Interface,decomp-orchestrator/knowledge/sources/rag_search/powerpc_docs/data/pdfs/PPCEABI.pdf,10,79,"Freescale Semiconductor, Inc.
 Software Installation

 CHAPTER 2 Software Installation
Freescale Semiconductor, Inc...

 Unlike the SVR4 ABI, the EABI shall not have required physical media for distribution of EABI-
 conforming application software, a required software format (such as a continuous data stream)
 on the physical media, a required layout of files on the physical media, or a required format or in-
 terpretation of installation data files.

 3 PowerPC EABI, Version 1.0

 For More Information On This Product,
 Go to: www.freescale.com"
