source_row,row_text,A,B,C,D
1,"Static Stage Info Struct | Starts at 0x8049E6C8, 0x778 bytes length (Ends at 0x8049EE3F)",,Static Stage Info Struct,"Starts at 0x8049E6C8, 0x778 bytes length (Ends at 0x8049EE3F)",
2,0x00 | Camera boundry - Left,0x00,Camera boundry - Left,,
3,0x04 | Camera boundry - Right,0x04,Camera boundry - Right,,
4,0x08 | Camera boundry - Top,0x08,Camera boundry - Top,,
5,0x0C | Camera boundry - Bottom,0x0C,Camera boundry - Bottom,,
6,0x10 | Blast Zones/Camera X offset | \n,0x10,Blast Zones/Camera X offset,,\n
7,0x14 | Blast Zones/Camera Y offset,0x14,Blast Zones/Camera Y offset,,
8,0x18 | Blast Zones/Camera Vertical Tilt,0x18,Blast Zones/Camera Vertical Tilt,,
9,0x1C | Camera Pan on X axis | \n,0x1C,Camera Pan on X axis,\n,
10,0x20 | Camera Tilt on Y axis,0x20,Camera Tilt on Y axis,,
11,0x24 | Camera tilt amount while grounded? | Float. This changes the amount that the camera tilts based on players location relative to the ground,0x24,Camera tilt amount while grounded?,Float. This changes the amount that the camera tilts based on players location relative to the ground,
12,0x28 | Camera Tracking | Float. Higher increases characters visible.,0x28,Camera Tracking,Float. Higher increases characters visible.,
13,0x2C | Camera Non-Moving Zoom | Float.,0x2C,Camera Non-Moving Zoom,Float.,
14,0x30 | Camera Tracking Smoothness | Float.,0x30,Camera Tracking Smoothness,Float.,
15,0x34 | Camera Zoom to Character? | 0 prevents movement,0x34,Camera Zoom to Character?,0 prevents movement,
16,0x38 | Max Camera Depth | Adjusting brings the camera closer to the stage. Affects 0x40 of the Camera Entity,0x38,Max Camera Depth,Adjusting brings the camera closer to the stage. Affects 0x40 of the Camera Entity,
17,0x40 | Camera Minimum Z Pos on Pause | Assumed based on grGroundParam ordering,0x40,Camera Minimum Z Pos on Pause,Assumed based on grGroundParam ordering,
18,0x44 | Camera Initial Z Pos on Pause | Float,0x44,Camera Initial Z Pos on Pause,Float,
19,0x48 | Camera Max Z Pos on Pause | Float,0x48,Camera Max Z Pos on Pause,Float,
20,"0x4C | Normal Camera X? | Float. Used in zz_0224c4c. These are stored when you use Pause (to return to your previous camera position, presumably)",0x4C,Normal Camera X?,"Float. Used in zz_0224c4c. These are stored when you use Pause (to return to your previous camera position, presumably)",
21,0x50 | Normal Camera Y? | Float. Used in zz_0224c64,0x50,Normal Camera Y?,Float. Used in zz_0224c64,
22,0x54 | Normal Camera Z? | Float. Used in zz_0224c7c,0x54,Normal Camera Z?,Float. Used in zz_0224c7c,
23,0x58 | Normal Camera Zoom | Float. Used in zz_0224c94,0x58,Normal Camera Zoom,Float. Used in zz_0224c94,
24,0x5C | Fixed Camera X | Short.,0x5C,Fixed Camera X,Short.,
25,0x60 | Fixed Camera Y | Short.,0x60,Fixed Camera Y,Short.,
26,0x64 | Fixed Camera Z / Depth Max | Short.,0x64,Fixed Camera Z / Depth Max,Short.,
27,0x68 | Fixed Camera Zoom | Float.,0x68,Fixed Camera Zoom,Float.,
28,0x6C | Fixed Camera Around X | Float. Used in zz_0224cac,0x6C,Fixed Camera Around X,Float. Used in zz_0224cac,
29,0x70 | Fixed Camera Focus Point on X,0x70,Fixed Camera Focus Point on X,,
30,0x74 | Blast zone position - Left,0x74,Blast zone position - Left,,
31,0x78 | Blast zone position - Right,0x78,Blast zone position - Right,,
32,0x7C | Blast zone position - Top,0x7C,Blast zone position - Top,,
33,0x80 | Blast zone position - Bottom,0x80,Blast zone position - Bottom,,
34,0x84 | Unk | Set during Stages_TrophyThink. Drop Count?,0x84,Unk,Set during Stages_TrophyThink. Drop Count?,
35,0x88 | Internal Stage ID | See ID lists for Internal Stage ID,0x88,Internal Stage ID,See ID lists for Internal Stage ID,
36,0x8C | Unk | Byte. Used in multiple stage initialization functions and set during ac_StageInfo_InitializeBigAreaWithBonePointers. Something related to respawn point flags,0x8C,Unk,Byte. Used in multiple stage initialization functions and set during ac_StageInfo_InitializeBigAreaWithBonePointers. Something related to respawn point flags,
37,0x98 | Music ID for current stage | Changing this does nothing,0x98,Music ID for current stage,Changing this does nothing,
38,0x9C | Frame of Last Bomb Rain Drop,0x9C,Frame of Last Bomb Rain Drop,,
39,0x12C | Unk | Short. Set to 0 during ac_StageInfo_InitializeBigAreaWithBonePointers,0x12C,Unk,Short. Set to 0 during ac_StageInfo_InitializeBigAreaWithBonePointers,
40,"0x178 | Pointer to Stage Specific Function | Always a li r3, 0 function just above the main render function.",0x178,Pointer to Stage Specific Function,"Always a li r3, 0 function just above the main render function.",
41,"0x17C | Stage Specific Function | Seems to be rendering on some stages, though for FD it's simply another li r3, 0. Possibly platform related?",0x17C,Stage Specific Function,"Seems to be rendering on some stages, though for FD it's simply another li r3, 0. Possibly platform related?",
42,0x180 | Stage Entity Pointer 1,0x180,Stage Entity Pointer 1,,
43,0x184 | Stage Entity Pointer 2,0x184,Stage Entity Pointer 2,,
44,0x18C | Stage Entity Pointer 3,0x18C,Stage Entity Pointer 3,,
45,0x190 | Stage Entity Pointer 4,0x190,Stage Entity Pointer 4,,
46,0x280 | Pointer to P1 Spawn Point Bone,0x280,Pointer to P1 Spawn Point Bone,,
47,0x284 | Pointer to P2 Spawn Point Bone,0x284,Pointer to P2 Spawn Point Bone,,
48,0x288 | Pointer to P3 Spawn Point Bone,0x288,Pointer to P3 Spawn Point Bone,,
49,0x28C | Pointer to P4 Spawn Point Bone,0x28C,Pointer to P4 Spawn Point Bone,,
50,0x290 | Pointer to P1 Respawn Point Bone,0x290,Pointer to P1 Respawn Point Bone,,
51,0x294 | Pointer to P2 Respawn Point Bone,0x294,Pointer to P2 Respawn Point Bone,,
52,0x298 | Pointer to P3 Respawn Point Bone,0x298,Pointer to P3 Respawn Point Bone,,
53,0x29C | Pointer to P4 Respawn Point Bone,0x29C,Pointer to P4 Respawn Point Bone,,
54,0x4D4 | Camera Limit Left-Top Pointer | Stage info file,0x4D4,Camera Limit Left-Top Pointer,Stage info file,
55,0x4D8 | Camera Limit Right-Bottom Pointer | Stage info file,0x4D8,Camera Limit Right-Bottom Pointer,Stage info file,
56,0x4DC | Blast Zone Left-Top Pointer | Stage info file,0x4DC,Blast Zone Left-Top Pointer,Stage info file,
57,0x4E0 | Blast Zone Bottom-Right Pointer | Stage info file,0x4E0,Blast Zone Bottom-Right Pointer,Stage info file,
58,0x694 | Unk | Short. See zz_01c4a08,0x694,Unk,Short. See zz_01c4a08,
59,0x6A8 | Itemdata Pointer | From Stage Info file,0x6A8,Itemdata Pointer,From Stage Info file,
60,0x6AC | Coll_data Pointer,0x6AC,Coll_data Pointer,,
61,0x6B0 | grGroundParam Pointer | See ac_StageInfo_StageSizeLoad_grGroundParam in Symbol Map,0x6B0,grGroundParam Pointer,See ac_StageInfo_StageSizeLoad_grGroundParam in Symbol Map,
62,0x6B4 | ALDYakuAll Pointer,0x6B4,ALDYakuAll Pointer,,
63,0x6B8 | Map_ptcl Pointer,0x6B8,Map_ptcl Pointer,,
64,0x6BC | Map_texg Pointer,0x6BC,Map_texg Pointer,,
65,"0x6C0 | Yakumono_Param Pointer | ""AtypicalComponent_Param"" - Used for non-static stage objects, like the floating platform on Great Bay.",0x6C0,Yakumono_Param Pointer,"""AtypicalComponent_Param"" - Used for non-static stage objects, like the floating platform on Great Bay.",
66,0x6C4 | Map_plit Pointer,0x6C4,Map_plit Pointer,,
67,0x6CC | Quake_model_set Pointer,0x6CC,Quake_model_set Pointer,,
68,0x6D0 | Unk | Byte. Set to -1 during ac_StageInfo_InitializeBigAreaWithBonePointers,0x6D0,Unk,Byte. Set to -1 during ac_StageInfo_InitializeBigAreaWithBonePointers,
